Gene	Num
NOTCH1	9
SEMA5A	9
DIP2B	9
N4BP2	9
CFAP44	9
KDM4C	9
ADGRB1	9
RADX	9
INPPL1	9
SLITRK4	9
TBC1D31	9
ADAM21	9
ARHGEF40	9
DLGAP2	9
PSMD1	9
NCAN	9
STAT5A	9
RBM25	9
TSPYL2	9
SLMAP	9
ZNF644	9
SMAD4	9
MAMLD1	9
AOX1	9
RICTOR	9
PCDHGA2	9
GRM1	9
CAMSAP1	9
OGDH	9
ARHGEF15	9
KCNH1	9
TTC21B	9
CPSF1	9
NELL1	9
GPC5	9
ATN1	9
ZNF540	9
AHI1	9
COPA	9
FRMPD2	9
PIKFYVE	9
PDE5A	9
XKR4	9
ATP1A1	9
DIAPH2	9
JAK3	9
NWD1	9
A2ML1	9
SLC1A6	9
ADAMTS2	9
TCF4	9
SORCS3	9
IL4R	9
C5	9
ABCC4	9
TRIOBP	9
PTPRC	9
PARP14	9
HEPHL1	9
NOTCH4	9
TTC21A	9
NCKAP1L	9
ADCY5	9
COL1A1	9
TIAM2	9
PC	9
FMO1	9
CRYBG1	9
KDM4A	9
EPHB3	9
ITGA1	9
RET	9
SPIDR	9
ACTN2	9
ZNF41	9
EGFR	9
DOP1B	9
DSG4	9
DSEL	9
KIDINS220	9
NLRP7	9
PKD1	9
SCLT1	9
KIF21A	9
WDR33	9
MERTK	9
PRDM2	9
PHLDB1	9
RAD50	9
SLC24A4	9
SETBP1	9
PRPF4B	9
TPO	9
MYO5A	9
EPHB2	9
LMTK2	9
GIMAP8	9
NLRP2	9
KLHL4	9
SEMA4D	9
FAM171B	9
KCNQ5	9
KCNH6	9
CHD2	9
ELMO1	9
LCA5L	9
INSR	9
SEC31A	9
LAMA5	9
RALGAPA2	9
LAMB1	9
ORC2	9
FBN2	9
COL24A1	9
GOLGA3	9
MCTP2	9
PCDHA9	9
ATP13A4	9
CEP126	9
LRP12	9
C6	9
USP32	9
PPIP5K2	9
TUBGCP6	9
CSTF3	9
DOP1A	9
MBD6	9
EPHA7	9
ZC3H12C	9
PAPPA	9
SLC39A12	9
RPTN	9
CASZ1	9
ITGA10	9
KCNA5	9
ZIM3	9
PCDHGA12	9
KCNA1	9
EEF1A1	9
KDM3A	9
SH3KBP1	9
FAM193A	9
SMARCC1	9
PRKG2	9
KIAA1549	9
THRAP3	9
DNMBP	9
NES	9
UBE4B	9
CR2	9
ACTN4	9
TINAG	9
HEATR5A	9
COL4A2	9
RESF1	9
