gene	lowMean	highMean	logFC	pValue	fdr
AL021068.1	11.7376859665428	5.66740690607735	-1.05038732217694	1.28861715569812e-20	9.98824331155129e-20
CADM3	2.6058635377943	1.29114539594843	-1.01311006399226	1.76807962758972e-25	2.52568033017181e-24
DMD	4.50423931226766	2.0808744014733	-1.11409359174859	1.85407402503442e-45	1.21933891361783e-42
AC032044.2	1.61736446716233	0.599954511970534	-1.43071979539767	2.05774900431277e-10	5.4865819779735e-10
AC007684.1	2.31534498141264	0.956687845303867	-1.27510699381884	6.18295533544251e-15	2.58111214064286e-14
STAR	2.38541375464684	0.459765561694291	-2.37526921468661	2.57156104843596e-05	4.16827399442663e-05
MIR3165	2.18286434324659	0.833776427255985	-1.38848998549451	3.03971143831883e-16	1.45922964032585e-15
CXCL2	9.54843513011152	4.04533268876611	-1.2390059577373	1.04580991772954e-21	9.16571183150046e-21
NSG1	3.22138485130112	1.30733508287293	-1.30105206091849	1.152837944735e-34	6.72777338464975e-33
SMYD3-AS1	1.48463398389095	0.57786758747698	-1.36129644151822	4.00802713092973e-06	7.05582785048568e-06
CD1C	4.97894615861214	2.40045303867403	-1.05253370238501	1.01300203631684e-22	1.00297173242511e-21
RNU6-341P	1.84887893432466	0.834019981583794	-1.14849690580415	5.56114278390181e-06	9.64597083200822e-06
AL365436.2	1.62060814745973	0.694246316758748	-1.22301577558658	6.24996868753508e-15	2.60781392357644e-14
HSD3B2	3.37424699504337	0.074377532228361	-5.50355489103741	1.31061546371619e-07	2.66028179179524e-07
FABP6	1.75526505576208	4.54587946593002	1.37287052882197	2.44332734673172e-09	5.87353497845715e-09
GATA5	1.04712834572491	2.34631924493554	1.16396103958262	0.00920217626460855	0.0116192594851973
SNORA74A	18.5114359665428	0.540162891344383	-5.09887847033283	0.0399154693509258	0.0470634816184995
ADAM33	4.53325520446097	1.82304613259669	-1.31419631200903	3.05873228546947e-30	8.61635310531177e-29
SEMA6D	7.15693633828996	2.78727154696133	-1.36048858446956	1.33402767739228e-42	3.67911923479526e-40
SAMD5	4.37986161710037	1.72192255985267	-1.34686502644503	3.41241869597282e-45	2.16107212157182e-42
AC015982.1	2.73576313506815	1.2831423572744	-1.09226208770921	3.60965503750826e-26	5.66252215471135e-25
AF131215.5	3.98766675960347	1.9631320441989	-1.02238763734413	8.52878044799218e-35	5.09370905712833e-33
AC104984.4	5.10958866171004	2.38446335174954	-1.09954254499999	0.000358678692219416	0.000522495055227449
SELP	12.8557052973978	5.6379091160221	-1.18917663560316	3.20058734813324e-29	7.60099853325925e-28
EGR3	29.9614277261462	14.0688338858195	-1.09060361912563	9.28361258115128e-21	7.32873922091901e-20
MIR5685	9.43224423791822	4.05951491712707	-1.21629372983784	1.98730126628589e-27	3.6815671020826e-26
AC087163.1	1.49323274473358	0.65562744014733	-1.18749090829738	3.7092108137059e-44	1.60398977842904e-41
DSG3	25.9685388475836	11.7105359116022	-1.14895774156137	2.074247854279e-25	2.92636667164329e-24
LAMA2	15.723528283767	6.99029309392265	-1.16950013540649	5.3716458106339e-38	5.49998633030114e-36
